,Month,ACT_n,NSW_n,NT_n,Qld_n,SA_n,Tas_n,Vic_n,WA_n,Aust_n,ACT_rate,NSW_rate,NT_rate,Qld_rate,SA_rate,Tas_rate,Vic_rate,WA_rate,Aust_rate,,,,,,,,,,
Hepatitis C (newly acquired),Apr-20,0,3,0,44,1,0,0,6,54,0,0,0,0.9,0.1,0,0,0.2,0.2,,,,,,,,,,
Hepatitis C (unspecified),Apr-20,10,207,8,112,13,13,90,39,492,2.3,2.6,3.3,2.2,0.7,2.4,1.4,1.5,1.9,,,,,,,,,,
Hepatitis D,Apr-20,0,1,0,0,1,0,0,0,2,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Botulism,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Apr-20,35,399,30,394,133,44,287,117,1439,8.2,4.9,12.2,7.7,7.6,8.2,4.4,4.5,8.3,,,,,,,,,,
Cryptosporidiosis,Apr-20,0,40,4,49,10,2,25,38,168,0,0.5,1.6,1,0.6,0.4,0.4,1.4,0.7,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,Apr-20,0,0,0,6,0,0,7,0,13,0,0,0,0.1,0,0,0.1,0,0.1,,,,,,,,,,
Hepatitis E,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Listeriosis,Apr-20,0,1,0,0,1,0,0,0,2,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Paratyphoid,Apr-20,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
STEC,Apr-20,0,3,0,1,7,0,3,6,20,0,0,0,0,0.4,0,0,0.2,0.1,,,,,,,,,,
Salmonellosis,Apr-20,7,187,38,264,55,15,105,171,842,1.6,2.3,15.4,5.2,3.1,2.8,1.6,6.5,3.3,,,,,,,,,,
Shigellosis,Apr-20,0,14,19,6,19,0,8,10,76,0,0.2,7.7,0.1,1.1,0,0.1,0.4,0.3,,,,,,,,,,
Typhoid Fever,Apr-20,0,3,0,0,1,0,1,1,6,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Legionellosis,Apr-20,0,21,0,7,3,2,10,7,50,0,0.3,0,0.1,0.2,0.4,0.2,0.3,0.2,,,,,,,,,,
Leprosy,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Apr-20,1,2,0,1,1,1,2,0,8,0.2,0,0,0,0.1,0.2,0,0,0,,,,,,,,,,
Tuberculosis,Apr-20,4,61,1,11,8,1,26,9,121,0.9,0.8,0.4,0.2,0.5,0.2,0.4,0.3,0.5,,,,,,,,,,
COVID-19,Apr-20,8,436,4,65,23,143,191,104,974,1.9,5.4,1.6,1.3,1.3,26.7,2.9,4,3.8,,,,,,,,,,
Cholera,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Apr-20,87,1558,219,1534,397,95,210,689,4789,20.4,19.3,89,30.1,22.7,17.8,3.2,26.3,18.9,,,,,,,,,,
Donovanosis,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Apr-20,10,599,93,405,114,13,509,294,2037,2.3,7.4,37.8,8,6.5,2.4,7.7,11.2,8,,,,,,,,,,
Syphilis < 2 years,Apr-20,6,129,33,76,15,2,97,37,395,1.4,1.6,13.4,1.5,0.9,0.4,1.5,1.4,1.6,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Apr-20,1,24,2,21,6,2,81,10,147,0.2,0.3,0.8,0.4,0.3,0.4,1.2,0.4,0.6,,,,,,,,,,
Syphilis congenital,Apr-20,0,0,0,0,1,0,0,0,1,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Diphtheria,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Apr-20,4,63,13,90,32,3,77,27,309,0.9,0.8,5.3,1.8,1.8,0.6,1.2,1,1.2,,,,,,,,,,
Measles,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Mumps,Apr-20,0,2,1,3,2,0,1,3,12,0,0,0.4,0.1,0.1,0,0,0.1,0,,,,,,,,,,
Pertussis,Apr-20,7,105,0,39,73,11,127,10,372,1.6,1.3,0,0.8,4.2,2.1,1.9,0.4,1.5,,,,,,,,,,
Pneumococcal disease (invasive),Apr-20,2,14,1,12,5,2,13,3,52,0.5,0.2,0.4,0.2,0.3,0.4,0.2,0.1,0.2,,,,,,,,,,
Poliovirus infection,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Apr-20,5,24,1,7,13,0,7,8,65,1.2,0.3,0.4,0.1,0.7,0,0.1,0.3,0.3,,,,,,,,,,
Rubella,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Apr-20,1,0,3,41,31,5,25,15,121,0.2,0,1.2,0.8,1.8,0.9,0.4,0.6,0.5,,,,,,,,,,
Varicella zoster (shingles),Apr-20,34,0,24,462,219,18,157,179,1093,8,0,9.8,9.1,12.5,3.4,2.4,6.8,4.3,,,,,,,,,,
Varicella zoster (unspecified),Apr-20,13,0,2,177,9,21,577,103,902,3.1,0,0.8,3.5,0.5,3.9,8.8,3.9,3.6,,,,,,,,,,
Barmah Forest virus infection,Apr-20,0,45,0,56,0,0,0,0,101,0,0.6,0,1.1,0,0,0,0,0.4,,,,,,,,,,
Chikungunya virus infection,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Dengue virus infection,Apr-20,0,1,0,0,2,0,0,3,6,0,0,0,0,0.1,0,0,0.1,0,,,,,,,,,,
Flavivirus infection (unspecified),Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Apr-20,0,3,1,9,0,0,0,1,14,0,0,0.4,0.2,0,0,0,0,0.1,,,,,,,,,,
Murray Valley encephalitis virus infection,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Apr-20,1,661,13,1173,12,1,19,35,1915,0.2,8.2,5.3,23,0.7,0.2,0.3,1.3,7.6,,,,,,,,,,
West Nile/Kunjin virus infection,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Apr-20,0,0,0,10,0,0,0,0,10,0,0,0,0.2,0,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Apr-20,0,8,0,0,1,0,0,0,9,0,0.1,0,0,0.1,0,0,0,0,,,,,,,,,,
Q fever,Apr-20,0,16,0,32,0,0,2,1,51,0,0.2,0,0.6,0,0,0,0,0.2,,,,,,,,,,
Tularaemia,Apr-20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis (NEC),Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Mar-20,0,1,0,2,0,2,0,2,7,0,0,0,0,0,0.4,0,0.1,0,,,,,,,,,,
Hepatitis B (unspecified),Mar-20,9,171,9,70,22,7,117,44,449,2.1,2.1,3.7,1.4,1.3,1.3,1.8,1.7,1.8,,,,,,,,,,
Hepatitis C (newly acquired),Mar-20,1,0,0,39,1,0,3,11,55,0.2,0,0,0.8,0.1,0,0,0.4,0.2,,,,,,,,,,
Hepatitis C (unspecified),Mar-20,14,236,15,150,17,14,167,81,694,3.3,2.9,6.1,2.9,1,2.6,2.5,3.1,2.7,,,,,,,,,,
Hepatitis D,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Botulism,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Mar-20,58,795,41,739,154,103,516,204,2610,13.6,9.8,16.7,14.5,8.8,19.3,7.8,7.8,15.1,,,,,,,,,,
Cryptosporidiosis,Mar-20,4,79,9,227,12,1,44,143,519,0.9,1,3.7,4.5,0.7,0.2,0.7,5.5,2,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Mar-20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,Mar-20,0,2,0,1,2,0,18,2,25,0,0,0,0,0.1,0,0.3,0.1,0.1,,,,,,,,,,
Hepatitis E,Mar-20,0,3,0,3,0,1,0,0,7,0,0,0,0.1,0,0.2,0,0,0,,,,,,,,,,
Listeriosis,Mar-20,0,2,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Paratyphoid,Mar-20,0,4,0,2,0,0,3,0,9,0,0,0,0,0,0,0,0,0,,,,,,,,,,
STEC,Mar-20,0,15,0,3,18,0,12,16,64,0,0.2,0,0.1,1,0,0.2,0.6,0.3,,,,,,,,,,
Salmonellosis,Mar-20,13,331,42,487,79,30,186,162,1330,3.1,4.1,17.1,9.6,4.5,5.6,2.8,6.2,5.2,,,,,,,,,,
Shigellosis,Mar-20,3,60,53,40,15,0,37,31,239,0.7,0.7,21.5,0.8,0.9,0,0.6,1.2,0.9,,,,,,,,,,
Typhoid Fever,Mar-20,0,4,0,3,1,1,10,0,19,0,0,0,0.1,0.1,0.2,0.2,0,0.1,,,,,,,,,,
Legionellosis,Mar-20,0,17,1,9,4,5,17,7,60,0,0.2,0.4,0.2,0.2,0.9,0.3,0.3,0.2,,,,,,,,,,
Leprosy,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Mar-20,0,1,0,1,0,1,3,0,6,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,
Tuberculosis,Mar-20,2,45,2,20,8,0,44,11,132,0.5,0.6,0.8,0.4,0.5,0,0.7,0.4,0.5,,,,,,,,,,
COVID-19,Mar-20,99,2766,25,979,410,87,1209,473,6048,23.2,34.2,10.2,19.2,23.4,16.3,18.3,18,23.9,,,,,,,,,,
Cholera,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Mar-20,155,2494,291,1922,494,111,320,939,6726,36.4,30.8,118.2,37.7,28.2,20.8,4.9,35.8,26.5,,,,,,,,,,
Donovanosis,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Mar-20,33,955,117,607,141,16,722,331,2922,7.7,11.8,47.5,11.9,8,3,10.9,12.6,11.5,,,,,,,,,,
Syphilis < 2 years,Mar-20,8,155,23,90,15,2,119,55,467,1.9,1.9,9.3,1.8,0.9,0.4,1.8,2.1,1.8,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Mar-20,1,55,9,22,9,3,132,20,251,0.2,0.7,3.7,0.4,0.5,0.6,2,0.8,1,,,,,,,,,,
Syphilis congenital,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,Mar-20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Mar-20,34,1673,93,2152,472,39,1214,221,5898,8,20.7,37.8,42.3,26.9,7.3,18.4,8.4,23.3,,,,,,,,,,
Measles,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Mumps,Mar-20,1,14,0,6,1,0,3,1,26,0.2,0.2,0,0.1,0.1,0,0,0,0.1,,,,,,,,,,
Pertussis,Mar-20,5,331,4,99,66,3,158,16,682,1.2,4.1,1.6,1.9,3.8,0.6,2.4,0.6,2.7,,,,,,,,,,
Pneumococcal disease (invasive),Mar-20,2,29,2,18,16,0,27,11,105,0.5,0.4,0.8,0.4,0.9,0,0.4,0.4,0.4,,,,,,,,,,
Poliovirus infection,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Mar-20,4,26,6,35,38,3,20,21,153,0.9,0.3,2.4,0.7,2.2,0.6,0.3,0.8,0.6,,,,,,,,,,
Rubella,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Mar-20,17,0,21,96,38,2,66,31,271,4,0,8.5,1.9,2.2,0.4,1,1.2,1.1,,,,,,,,,,
Varicella zoster (shingles),Mar-20,37,0,55,574,254,35,176,188,1319,8.7,0,22.3,11.3,14.5,6.5,2.7,7.2,5.2,,,,,,,,,,
Varicella zoster (unspecified),Mar-20,12,0,8,215,11,23,709,125,1103,2.8,0,3.3,4.2,0.6,4.3,10.8,4.8,4.3,,,,,,,,,,
Barmah Forest virus infection,Mar-20,0,20,0,48,0,0,1,6,75,0,0.2,0,0.9,0,0,0,0.2,0.3,,,,,,,,,,
Chikungunya virus infection,Mar-20,0,1,0,1,2,0,0,0,4,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Dengue virus infection,Mar-20,0,22,2,14,9,0,14,22,83,0,0.3,0.8,0.3,0.5,0,0.2,0.8,0.3,,,,,,,,,,
Flavivirus infection (unspecified),Mar-20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Mar-20,0,5,0,6,2,1,9,6,29,0,0.1,0,0.1,0.1,0.2,0.1,0.2,0.1,,,,,,,,,,
Murray Valley encephalitis virus infection,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Mar-20,0,110,20,368,5,0,10,36,549,0,1.4,8.1,7.2,0.3,0,0.2,1.4,2.2,,,,,,,,,,
West Nile/Kunjin virus infection,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Mar-20,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Mar-20,0,3,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Mar-20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Q fever,Mar-20,0,15,0,16,1,0,0,1,33,0,0.2,0,0.3,0.1,0,0,0,0.1,,,,,,,,,,
Tularaemia,Mar-20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis (NEC),Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Feb-20,0,0,1,5,0,0,6,0,12,0,0,0.4,0.1,0,0,0.1,0,0,,,,,,,,,,
Hepatitis B (unspecified),Feb-20,3,211,3,81,25,3,143,37,506,0.7,2.6,1.2,1.6,1.4,0.6,2.2,1.4,2,,,,,,,,,,
Hepatitis C (newly acquired),Feb-20,2,1,0,48,3,2,2,5,63,0.5,0,0,0.9,0.2,0.4,0,0.2,0.2,,,,,,,,,,
Hepatitis C (unspecified),Feb-20,8,307,10,139,30,10,143,77,724,1.9,3.8,4.1,2.7,1.7,1.9,2.2,2.9,2.9,,,,,,,,,,
Hepatitis D,Feb-20,1,1,0,0,0,0,1,0,3,0.2,0,0,0,0,0,0,0,0,,,,,,,,,,
Botulism,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Feb-20,49,926,35,852,185,94,717,281,3139,11.5,11.5,14.2,16.7,10.6,17.6,10.9,10.7,18.2,,,,,,,,,,
Cryptosporidiosis,Feb-20,2,112,12,145,12,0,78,160,521,0.5,1.4,4.9,2.8,0.7,0,1.2,6.1,2.1,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Feb-20,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,Feb-20,0,7,0,5,0,0,5,4,21,0,0.1,0,0.1,0,0,0.1,0.2,0.1,,,,,,,,,,
Hepatitis E,Feb-20,0,6,0,2,0,1,1,2,12,0,0.1,0,0,0,0.2,0,0.1,0,,,,,,,,,,
Listeriosis,Feb-20,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Paratyphoid,Feb-20,0,3,0,0,1,0,11,0,15,0,0,0,0,0.1,0,0.2,0,0.1,,,,,,,,,,
STEC,Feb-20,0,8,0,5,48,0,7,17,85,0,0.1,0,0.1,2.7,0,0.1,0.6,0.3,,,,,,,,,,
Salmonellosis,Feb-20,27,658,54,1090,110,40,345,226,2550,6.3,8.1,21.9,21.4,6.3,7.5,5.2,8.6,10.1,,,,,,,,,,
Shigellosis,Feb-20,5,102,73,69,25,1,65,38,378,1.2,1.3,29.7,1.4,1.4,0.2,1,1.4,1.5,,,,,,,,,,
Typhoid Fever,Feb-20,1,10,2,3,1,2,11,1,31,0.2,0.1,0.8,0.1,0.1,0.4,0.2,0,0.1,,,,,,,,,,
Legionellosis,Feb-20,0,11,0,8,4,0,19,2,44,0,0.1,0,0.2,0.2,0,0.3,0.1,0.2,,,,,,,,,,
Leprosy,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Feb-20,0,1,0,7,1,0,3,1,13,0,0,0,0.1,0.1,0,0,0,0.1,,,,,,,,,,
Tuberculosis,Feb-20,4,49,4,13,3,4,41,14,132,0.9,0.6,1.6,0.3,0.2,0.7,0.6,0.5,0.5,,,,,,,,,,
COVID-19,Feb-20,0,49,0,18,4,2,15,8,96,0,0.6,0,0.4,0.2,0.4,0.2,0.3,0.4,,,,,,,,,,
Cholera,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Feb-20,137,2936,249,2078,598,119,416,1119,7652,32.1,36.3,101.2,40.8,34.1,22.3,6.3,42.7,30.2,,,,,,,,,,
Donovanosis,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Feb-20,30,916,115,627,122,26,887,372,3095,7,11.3,46.7,12.3,7,4.9,13.5,14.2,12.2,,,,,,,,,,
Syphilis < 2 years,Feb-20,3,145,27,86,14,1,137,63,476,0.7,1.8,11,1.7,0.8,0.2,2.1,2.4,1.9,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Feb-20,0,62,7,27,3,4,90,15,208,0,0.8,2.8,0.5,0.2,0.7,1.4,0.6,0.8,,,,,,,,,,
Syphilis congenital,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,Feb-20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Feb-20,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Feb-20,54,2642,69,1971,528,50,1474,384,7172,12.7,32.7,28,38.7,30.1,9.4,22.4,14.6,28.3,,,,,,,,,,
Measles,Feb-20,0,1,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Mumps,Feb-20,11,16,1,8,3,0,6,2,47,2.6,0.2,0.4,0.2,0.2,0,0.1,0.1,0.2,,,,,,,,,,
Pertussis,Feb-20,17,351,2,111,30,11,213,28,763,4,4.3,0.8,2.2,1.7,2.1,3.2,1.1,3,,,,,,,,,,
Pneumococcal disease (invasive),Feb-20,1,34,0,13,7,0,15,10,80,0.2,0.4,0,0.3,0.4,0,0.2,0.4,0.3,,,,,,,,,,
Poliovirus infection,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Feb-20,11,48,7,52,47,10,64,25,264,2.6,0.6,2.8,1,2.7,1.9,1,1,1,,,,,,,,,,
Rubella,Feb-20,0,0,0,0,1,0,0,0,1,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Rubella congenital,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Feb-20,17,0,9,85,35,3,75,42,266,4,0,3.7,1.7,2,0.6,1.1,1.6,1,,,,,,,,,,
Varicella zoster (shingles),Feb-20,44,0,33,664,300,41,184,212,1478,10.3,0,13.4,13,17.1,7.7,2.8,8.1,5.8,,,,,,,,,,
Varicella zoster (unspecified),Feb-20,10,0,0,109,8,19,701,119,966,2.3,0,0,2.1,0.5,3.6,10.6,4.5,3.8,,,,,,,,,,
Barmah Forest virus infection,Feb-20,0,7,3,26,0,0,0,2,38,0,0.1,1.2,0.5,0,0,0,0.1,0.1,,,,,,,,,,
Chikungunya virus infection,Feb-20,0,1,0,2,0,0,2,5,10,0,0,0,0,0,0,0,0.2,0,,,,,,,,,,
Dengue virus infection,Feb-20,2,12,2,11,6,0,6,15,54,0.5,0.1,0.8,0.2,0.3,0,0.1,0.6,0.2,,,,,,,,,,
Flavivirus infection (unspecified),Feb-20,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Feb-20,0,5,0,9,1,1,14,7,37,0,0.1,0,0.2,0.1,0.2,0.2,0.3,0.1,,,,,,,,,,
Murray Valley encephalitis virus infection,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Feb-20,0,20,7,64,2,0,7,28,128,0,0.2,2.8,1.3,0.1,0,0.1,1.1,0.5,,,,,,,,,,
West Nile/Kunjin virus infection,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Feb-20,0,0,0,5,0,0,0,0,5,0,0,0,0.1,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Feb-20,0,1,1,10,0,0,0,0,12,0,0,0.4,0.2,0,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Feb-20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Q fever,Feb-20,0,17,0,23,0,0,2,0,42,0,0.2,0,0.5,0,0,0,0,0.2,,,,,,,,,,
Tularaemia,Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis (NEC),Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Jan-20,0,0,0,4,1,0,3,0,8,0,0,0,0.1,0.1,0,0,0,0,,,,,,,,,,
